"CITY","SEX","IDADE","CANAL_VENDA","CATEGORIA","PRODUTO","PRECO","QUANTIDADE","DESCONTO_APLICADO","RENDA_ESTIMADA","ESCOLARIDADE_SCORE","ESCOLARIDADE_ROTULADA","SEASONAL_EFFECT","DATA_VENDA","ANOS","MESES","DIA_SEMANA","VALOR_TOTAL"
"ANANINDEUA","MASCULINO",54,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",5414.18,1,0.0616122774314135,2.03,0.47,"ENS MÉDIO INCOMP",5.1,2023-11-14,2023,11,3,25911.06
"ANANINDEUA","MASCULINO",26,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",26.91,2,0.0643998078070581,2.34,0.58,"ENS MÉDIO COMP",1.35,2017-02-21,2017,2,3,67.98
"BELÉM","FEMININO",28,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",214.31,1,0.0987545452499762,3.11,0.67,"ENS MÉDIO COMP",1.725,2018-12-15,2018,12,7,333.18
"ANANINDEUA","MASCULINO",30,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",241.68,1,0.0938764423597604,2.55,0.65,"ENS MÉDIO COMP",1.8,2022-02-03,2022,2,5,394.19
"MARITUBA","FEMININO",54,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",235.55,1,0.0740124150179327,1.58,0.57,"ENS MÉDIO COMP",4.225,2025-08-15,2025,8,6,921.54
"ANANINDEUA","FEMININO",50,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",33.33,1,0.049399149059318,2.66,0.74,"ENS SUPER INCOMP",1.495,2016-12-23,2016,12,6,47.37
"BELÉM","MASCULINO",49,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",227.35,1,0.147204643394798,3.2,0.54,"ENS MÉDIO COMP",4.176,2024-09-04,2024,9,4,809.66
"MARITUBA","FEMININO",50,"REVENDEDOR","BRINQUEDOS","BONECA COLECIONÁVEL",141.35,1,0.0621328331856057,2.64,0.62,"ENS MÉDIO COMP",2.88,2024-02-29,2024,2,5,381.79
"BELÉM","FEMININO",75,"LOJA FÍSICA","ELETRÔNICOS","SMARTPHONE PREMIUM",4800.45,1,0.0497240492561832,2.99,0.82,"ENS SUPER COMP",6.58125,2025-05-10,2025,5,7,30022.03
"BELÉM","FEMININO",60,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",92.45,1,0.0484564794413745,2.97,0.76,"ENS SUPER COMP",3.75,2023-08-29,2023,8,3,329.89
